#Small instance: 11 products on 4 trucks
#Pallets Weight/Pallet
29	240
26	288
24	402
24	300
19	762
6	5688
2	14220
2	9720
2	3564
1	3996
1	3420

#Medium instance: 23 products on 9 trucks
#Pallets Weight/Pallet
43	4860
39	4680
36	9120
36	630
22	4950
18	6300
14	6480
13	5760
12	3600
11	6300
10	6480
8	9264
8	5040
7	14400
5	3000
5	3240
5	6000
4	3600
4	14160
2	8400
2	7200
1	38100
1	5400

#Large instance: 319 products on 87 trucks
#Pallets Weight/Pallet
146	26400
115	75600
100	444
97	1608
88	876
80	810
79	756
77	720
77	762
69	720
57	756
50	480
49	29952
48	36180
47	1590
31	3780
31	36720
27	5280
26	67230
25	37260
25	58500
23	6000
23	4620
22	19494
22	3840
20	25440
17	30000
16	39744
15	12960
15	9000
14	3564
14	20400
14	21600
14	4884
13	10080
13	52488
13	6270
13	41850
13	47952
13	1440
13	1920
12	14400
12	4590
12	5220
12	30000
12	1344
12	1872
12	1872
12	3840
11	2112
11	7560
11	45720
11	31632
10	6048
10	5256
10	4500
10	3840
10	14256
10	4080
9	6600
9	14400
9	4200
9	4032
9	6750
9	4950
9	15840
9	8280
9	2808
9	7200
9	15120
9	3420
9	8460
9	1920
9	4860
8	9720
8	3888
8	22950
8	15000
8	44010
8	2448
8	5130
8	20160
8	20448
8	3840
8	1920
8	2016
8	24660
8	57600
7	6120
7	2808
7	6240
7	8550
7	2730
7	3360
7	4620
7	21600
7	3096
7	4320
7	3744
7	12000
7	3240
7	3420
7	3600
7	4500
7	47952
7	31632
7	31632
7	42384
7	11340
6	19260
6	7200
6	8100
6	3960
6	4800
6	8064
6	2448
6	5400
6	9720
6	13680
6	8568
6	2016
6	49356
6	7560
6	1680
6	31632
6	31632
6	25416
6	4572
6	12240
6	3720
5	5850
5	7200
5	3168
5	3672
5	3780
5	4464
5	19008
5	26400
5	2808
5	3120
5	4608
5	14400
5	2880
5	2880
5	5184
5	5904
5	3240
5	2520
5	24120
5	8316
5	4536
5	7704
5	4608
5	23580
5	15000
5	1800
5	55440
5	1920
5	1560
5	31632
5	13320
5	1800
4	9720
4	33300
4	1584
4	1680
4	6750
4	7200
4	31500
4	6720
4	22410
4	10944
4	38880
4	39600
4	1440
4	2784
4	38640
4	3792
4	12192
4	5832
4	5760
4	4800
4	6630
4	2064
4	4620
4	5670
4	5850
4	53208
4	6480
4	4320
4	9360
4	4950
4	31464
4	17700
4	74844
4	47952
4	25416
4	4032
4	1848
4	4608
4	2100
4	1770
3	33660
3	13200
3	4800
3	4200
3	5616
3	26400
3	19008
3	20808
3	2304
3	10080
3	4374
3	20232
3	1584
3	45120
3	2880
3	2952
3	2880
3	4320
3	3240
3	3840
3	9576
3	7992
3	36720
3	4608
3	3312
3	4500
3	6120
3	7410
3	26280
3	26280
3	4320
3	4704
3	24480
3	24300
3	7344
3	4500
3	18000
3	1800
3	1680
3	4752
3	26376
3	4968
3	32688
3	5400
3	18900
2	19260
2	38304
2	13200
2	8640
2	5400
2	8640
2	4140
2	13392
2	33120
2	9360
2	2844
2	2592
2	4536
2	4968
2	20520
2	26280
2	4860
2	37800
2	3360
2	4320
2	4704
2	4704
2	4608
2	5280
2	4320
2	3780
2	4752
2	26376
2	4680
2	20880
2	7488
2	5382
2	3120
2	59832
2	6630
2	4446
2	10320
2	4500
2	2880
2	9180
2	29160
2	17850
2	18540
2	1440
2	4224
2	12960
2	47952
1	11232
1	23760
1	9720
1	11880
1	20880
1	50496
1	3024
1	10080
1	20880
1	4860
1	20520
1	4500
1	4224
1	21600
1	6840
1	3960
1	10560
1	21024
1	8208
1	3096
1	4680
1	3780
1	20880
1	21600
1	4608
